NearestNeighbors,HashingVectorizer,1,3000,3,5,euclidean,6891.0,48.161867486720716,7417.0,51.838132513279284
NearestNeighbors,HashingVectorizer,1,3000,3,5,euclidean,6096.0,42.605535364830864,8212.0,57.394464635169136
NearestNeighbors,HashingVectorizer,1,3000,3,5,euclidean,7092.0,49.50785340314136,7233.0,50.49214659685864
NearestNeighbors,HashingVectorizer,1,3000,3,5,euclidean,6295.0,43.94415357766143,8030.0,56.05584642233857
NearestNeighbors,HashingVectorizer,1,3000,3,5,cosine,9138.0,63.79057591623037,5187.0,36.20942408376963
NearestNeighbors,HashingVectorizer,1,3000,3,5,cosine,9425.999999999998,65.80104712041884,4899.000000000002,34.19895287958116
NearestNeighbors,HashingVectorizer,1,100000,3,5,euclidean,7059.0,49.27748691099477,7266.0,50.72251308900523
NearestNeighbors,HashingVectorizer,1,100000,3,5,euclidean,6224.0,43.44851657940663,8101.0,56.55148342059337
NearestNeighbors,HashingVectorizer,1,100000,3,5,cosine,9314.999999999998,65.0261780104712,5010.000000000002,34.9738219895288
NearestNeighbors,HashingVectorizer,1,100000,3,5,cosine,9594.000000000002,66.9738219895288,4730.999999999998,33.0261780104712
