classifier,scale_method,min_d,max_f,k_clusters,nbrs,metric,Correctly Classified Instances,Accuracy percentage,Incorrectly Classified Instances,Inaccurate percentage,radius
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,0.09
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,0.2
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,0.7
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,1.5
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,2
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,2.5
NearestNeighbors,HashingVectorizer,1,5000,3,5,cosine,9028,62.90%,5325,37.10%,3
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,0.09
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,0.2
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,0.7
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,1.5
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,2
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,2.5
NearestNeighbors,HashingVectorizer,1,10000,3,5,cosine,8974,63.44%,5171,36.56%,3
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,0.09
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,0.2
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,0.7
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,1.5
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,2
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,2.5
NearestNeighbors,HashingVectorizer,1,20000,3,5,cosine,8965,63.09%,5244,36.91%,3
NearestNeighbors,CountVectorizer,1,None,3,5,cosine,8861,63.07%,5189,36.93%,0.2
NearestNeighbors,CountVectorizer,1,None,3,5,cosine,9065,63.55%,5200,36.45%,0.2
NearestNeighbors,CountVectorizer,1,None,3,10,cosine,8929,62.59%,5336,37.41%,0.2
NearestNeighbors,CountVectorizer,1,None,3,15,cosine,8779,61.54%,5486,38.46%,0.2
NearestNeighbors,CountVectorizer,1,None,3,30,cosine,8443,59.19%,5822,40.81%,0.2
NearestNeighbors,CountVectorizer,1,None,3,50,cosine,8174,57.30%,6091,42.70%,0.2
NearestNeighbors,CountVectorizer,3,None,3,5,cosine,9062,63.53%,5203,36.47%,0.2
NearestNeighbors,CountVectorizer,3,None,3,10,cosine,8948,62.73%,5317,37.27%,0.2
NearestNeighbors,CountVectorizer,3,None,3,15,cosine,8795,61.65%,5470,38.35%,0.2
NearestNeighbors,CountVectorizer,3,None,3,30,cosine,8461,59.31%,5804,40.69%,0.2
NearestNeighbors,CountVectorizer,3,None,3,50,cosine,8178,57.33%,6087,42.67%,0.2
NearestNeighbors,CountVectorizer,5,None,3,5,cosine,9039,63.36%,5226,36.64%,0.2
NearestNeighbors,CountVectorizer,5,None,3,10,cosine,8956,62.78%,5309,37.22%,0.2
NearestNeighbors,CountVectorizer,5,None,3,15,cosine,8783,61.57%,5482,38.43%,0.2
NearestNeighbors,CountVectorizer,5,None,3,30,cosine,8470,59.38%,5795,40.62%,0.2
NearestNeighbors,CountVectorizer,5,None,3,50,cosine,8200,57.48%,6065,42.52%,0.2
NearestNeighbors,CountVectorizer,10,None,3,5,cosine,9031,63.31%,5234,36.69%,0.2
NearestNeighbors,CountVectorizer,10,None,3,10,cosine,8917,62.51%,5348,37.49%,0.2
NearestNeighbors,CountVectorizer,10,None,3,15,cosine,8773,61.50%,5492,38.50%,0.2
NearestNeighbors,CountVectorizer,10,None,3,30,cosine,8474,59.40%,5791,40.60%,0.2
NearestNeighbors,CountVectorizer,10,None,3,50,cosine,8202,57.50%,6063,42.50%,0.2
NearestNeighbors,CountVectorizer,15,None,3,5,cosine,9014,63.19%,5251,36.81%,0.2
NearestNeighbors,CountVectorizer,15,None,3,10,cosine,8882,62.26%,5383,37.74%,0.2
NearestNeighbors,CountVectorizer,15,None,3,15,cosine,8771,61.49%,5494,38.51%,0.2
NearestNeighbors,CountVectorizer,15,None,3,30,cosine,8449,59.23%,5816,40.77%,0.2
NearestNeighbors,CountVectorizer,15,None,3,50,cosine,8190,57.41%,6075,42.59%,0.2
NearestNeighbors,CountVectorizer,30,None,3,5,cosine,9025,63.27%,5240,36.73%,0.2
NearestNeighbors,CountVectorizer,30,None,3,10,cosine,8874,62.21%,5391,37.79%,0.2
NearestNeighbors,CountVectorizer,30,None,3,15,cosine,8724,61.16%,5541,38.84%,0.2
NearestNeighbors,CountVectorizer,30,None,3,30,cosine,8415,58.99%,5850,41.01%,0.2
NearestNeighbors,CountVectorizer,30,None,3,50,cosine,8162,57.22%,6103,42.78%,0.2
